今回問,ページ,分野,テーマ,確度,最有力種別,最有力掲載ページ,最有力URL,完全同一確認,確認メモ
問20,P.11,データベース,UNIONがエラーになる条件,C,基本情報・修了試験（午前免除試験 令和3年1月 問26）,問26 / 令和3年度問26 CURSOR操作,https://www.fe-siken.com/kakomon/03_menjo/q26.html,未確認,UNION／タイトル一致なし。本文・周辺語ヒットのため要確認
問21,P.12,データベース,ストアドプロシージャ,B,基本情報・修了試験（午前免除試験 令和2年1月 問25）,問25 / 令和2年度問25 ストアドプロシージャの利点,https://www.fe-siken.com/kakomon/02_menjo/q25.html,未確認,ストアドプロシージャ
問22,P.12,データベース,DBMSのチェックポイント,A,応用情報・05_aki 問30,問30 / DBMSの障害回復,https://www.ap-siken.com/kakomon/05_aki/q30.html,未確認,チェックポイント・DBMS
問23,P.13,ネットワーク,Wi‑Fi Direct,未確認,未確認,未確認 / 未確認,,未確認,今回取得した範囲では該当候補なし
問24,P.13,ネットワーク,OSI参照モデルの層順,C,基本情報・修了試験（午前免除試験 令和2年7月 問30）,問30 / 令和2年度問30 ネットワーク機器,https://www.fe-siken.com/kakomon/02_menjo/q30.html,未確認,OSI・参照モデル／タイトル一致なし。本文・周辺語ヒットのため要確認
問25,P.14,ネットワーク,通信を識別する5タプル,A,基本情報・サンプル問題,問29 / 戻りのパケットでのポート番号,https://www.fe-siken.com/kakomon/sample/a29.html,未確認,ポート番号・戻りのパケット
問26,P.14,ネットワーク,ネットワーク管理のSNMP,B,基本情報・修了試験（午前免除試験 令和2年1月 問34）,問34 / 令和2年度問34 SNMPの説明,https://www.fe-siken.com/kakomon/02_menjo/q34.html,未確認,SNMP
問27,P.14,セキュリティ,侵入痕跡を隠すルートキット,B,情報セキュリティマネジメント・sample 問12,問12 / ルートキットの特徴はどれか,https://www.sg-siken.com/kakomon/sample/a12.html,未確認,ルートキット
問28,P.15,セキュリティ,暗号の危殆化,S,基本情報・公開問題（令和7年度公開問題）,問9 / 暗号の危殆化に該当するもの,https://www.fe-siken.com/kakomon/07_haru/a9.html,確認済み,問題文・選択肢まで目視照合で一致
問29,P.15,セキュリティ,本人拒否率と他人受入率,A,情報セキュリティマネジメント・30_haru 問22,問22 / FRRとFARとの関係,https://www.sg-siken.com/kakomon/30_haru/q22.html,未確認,本人拒否率・他人受入率・FAR・FRR
問30,P.15,セキュリティ,セキュリティのブラックボックステスト,A,基本情報・サンプル問題,問34 / ファジングに該当するものはどれか,https://www.fe-siken.com/kakomon/sample/a34.html,未確認,ファジング
問31,P.16,セキュリティ,EDRの機能,未確認,未確認,未確認 / 未確認,,未確認,今回取得した範囲では該当候補なし
問32,P.16,セキュリティ,ゼロトラスト,S,情報セキュリティマネジメント・07_haru 問3,問3 / ゼロトラストの説明はどれか,https://www.sg-siken.com/kakomon/07_haru/a3.html,確認済み,問題文・選択肢まで目視照合で一致
問33,P.17,セキュリティ,XSS対策の出力エスケープ,C,基本情報・修了試験（基本情報技術者 R6 問10）,問33 / 令和6年度問33 SQLインジェクション対策,https://www.fe-siken.com/kakomon/06_menjo/q33.html,未確認,XSS・エスケープ／タイトル一致なし。本文・周辺語ヒットのため要確認
問34,P.17,開発技術,DFDの読み方,C,応用情報・21_haru 問44,問44 / DFD作成の手順,https://www.ap-siken.com/kakomon/21_haru/q44.html,未確認,DFD
問35,P.18,プログラミング,継承による再利用,A,基本情報・修了試験（午前免除試験 令和4年7月 問47）,問46 / 令和4年度問46 基底クラスと派生クラスの関係,https://www.fe-siken.com/kakomon/04_menjo/q46.html,未確認,継承・サブクラス・基底クラス
問36,P.18,開発技術,マイクロサービス,S,応用情報・06_aki 問47,問47 / マイクロサービスアーキテクチャ,https://www.ap-siken.com/kakomon/06_aki/q47.html,確認済み,問題文・選択肢まで目視照合で一致
問37,P.18,テスト,ブラックボックスの同値分割,C,応用情報・21_aki 問47,問47 / テストケース設計法,https://www.ap-siken.com/kakomon/21_aki/q47.html,未確認,同値分割／タイトル一致なし。本文・周辺語ヒットのため要確認
問38,P.19,開発技術,コンポーネントウェア,未確認,未確認,未確認 / 未確認,,未確認,今回取得した範囲では該当候補なし
問39,P.19,マネジメント,スクラムのプロダクトオーナー,A,基本情報・修了試験（午前免除試験 令和5年1月 問39）,問40 / プロダクトオーナーの役割はどれか,https://www.fe-siken.com/kakomon/05_menjo/q40.html,未確認,プロダクトオーナー
問40,P.20,開発技術,テスト駆動開発の三段階,A,基本情報・修了試験（午前免除試験 令和2年6月 問49）,問49 / 令和2年度問49 リファクタリングはどれか,https://www.fe-siken.com/kakomon/02_menjo/q49.html,未確認,テスト駆動・リファクタリング
問41,P.20,マネジメント,ベースラインを確定するプロセス群,C,応用情報・01_aki 問14,問14 / キャパシティプランニングの目的,https://www.ap-siken.com/kakomon/01_aki/q14.html,未確認,ベースライン／タイトル一致なし。本文・周辺語ヒットのため要確認
問42,P.21,マネジメント,アローダイアグラムの短縮,A,基本情報・修了試験（午前免除試験 令和2年12月 問52）,問53 / 令和2年度問53 アローダイアグラム,https://www.fe-siken.com/kakomon/02_menjo/q53.html,未確認,アローダイアグラム・クリティカルパス
問43,P.21,サービス管理,インシデント管理,B,応用情報・01_aki 問57,問57 / インシデント管理として行うもの,https://www.ap-siken.com/kakomon/01_aki/q57.html,未確認,インシデント管理
問44,P.22,サービス管理,直列構成の可用性,B,応用情報・26_haru 問10,問10 / サービスマネジメント,https://www.ap-siken.com/kakomon/26_haru/pm10.html,未確認,可用性・稼働率・直列
問45,P.22,監査,内部監査人の独立性,B,基本情報・サンプル問題,問47 / システム監査人の独立性,https://www.fe-siken.com/kakomon/sample/a47.html,未確認,内部監査・独立性・監査人
問46,P.23,ストラテジ,BPMSの検証フェーズ,C,基本情報・修了試験（午前免除試験 令和2年6月 問42）,問41 / 令和2年度問41 TLS通信で期待できるセキュリティ効果,https://www.fe-siken.com/kakomon/02_menjo/q41.html,未確認,検証／タイトル一致なし。本文・周辺語ヒットのため要確認
問47,P.23,ストラテジ,クロステック（X-Tech）,C,応用情報・05_haru 問63,問63 / 情報銀行の説明はどれか,https://www.ap-siken.com/kakomon/05_haru/q63.html,未確認,FinTech／タイトル一致なし。本文・周辺語ヒットのため要確認
問48,P.23,ストラテジ,BSC：内部ビジネスプロセス,A,応用情報・24_haru 問70,問70 / バランススコアカード(BSC),https://www.ap-siken.com/kakomon/24_haru/q70.html,未確認,BSC・バランススコアカード・内部ビジネスプロセス
問49,P.24,ストラテジ,PPMの問題児,C,応用情報・01_aki 問67,問67 / PPM分析,https://www.ap-siken.com/kakomon/01_aki/q67.html,未確認,PPM・問題児
問50,P.25,ストラテジ,カニバリゼーション,C,応用情報・03_aki 問2,問2 / 経営戦略,https://www.ap-siken.com/kakomon/03_aki/pm02.html,未確認,カニバリゼーション／タイトル一致なし。本文・周辺語ヒットのため要確認
問51,P.25,ストラテジ,ビジネスモデルキャンバス,A,応用情報・07_haru 問69,問69 / ビジネスモデルキャンバス,https://www.ap-siken.com/kakomon/07_haru/q69.html,未確認,ビジネスモデルキャンバス
問52,P.26,ストラテジ,ハッカソン,未確認,未確認,未確認 / 未確認,,未確認,今回取得した範囲では該当候補なし
問53,P.26,ストラテジ,RPA,S,応用情報・01_aki 問71,問71 / RPAの説明はどれか,https://www.ap-siken.com/kakomon/01_aki/q71.html,確認済み,問題文・選択肢まで目視照合で一致
問54,P.27,IoT,エネルギーハーベスティング,A,応用情報・29_haru 問20,問20 / エネルギーハーベスティングの適用例,https://www.ap-siken.com/kakomon/29_haru/q20.html,未確認,エネルギーハーベスティング
問55,P.27,ストラテジ,ソーシャルメディア,B,応用情報・28_haru 問78,問78 / ソーシャルメディアガイドライン,https://www.ap-siken.com/kakomon/28_haru/q78.html,未確認,ソーシャルメディア
問56,P.28,人材育成,OJT,C,応用情報・23_aki 問53,問53 / プロジェクト要員の教育方針,https://www.ap-siken.com/kakomon/23_aki/q53.html,未確認,OJT／タイトル一致なし。本文・周辺語ヒットのため要確認
問57,P.28,ストラテジ,移動平均による販売予測,C,基本情報・修了試験（午前免除試験 令和6年6月 問57）,問57 / 令和6年度問57 在庫補充計画,https://www.fe-siken.com/kakomon/06_menjo/q57.html,未確認,販売予測／タイトル一致なし。本文・周辺語ヒットのため要確認
問58,P.29,品質管理,パレート図,A,応用情報・23_toku 問53,問53 / パレート図の用途はどれか,https://www.ap-siken.com/kakomon/23_toku/q53.html,未確認,パレート図
問59,P.29,会計,固定資産売却損の区分,A,基本情報・サンプル問題,問58 / 固定資産売却損は何万円か,https://www.fe-siken.com/kakomon/sample/a58.html,未確認,固定資産売却損
問60,P.30,法務,個人情報の目的と同意,A,情報セキュリティマネジメント・31_haru 問31,問31 / JIS Q 15001,https://www.sg-siken.com/kakomon/31_haru/q31.html,未確認,個人情報・利用目的
